;Credit365;https://credit365.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;7;500;30;3000;0.014;0.3;30;10000;0.014;0;0;1;credit365.png
;SosCredit;https://soscredit.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;300;30;3000;0.014;0;30;10000;0.014;0;0;4;soccredit.jpg
;ШвидкоГроші;https://sgroshi.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;3;400;30;3000;0.02;0;30;3000;0.02;0;0;1;sgroshi.png
;Ccloan;https://ccloan.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;400;30;2000;0.0001;0;30;10000;0.013333;0;0;5;ccloan.png
;KLT Credit;https://kltcredit.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;7;500;30;2500;0.0162;0;65;10000;0.0162;0;0;2;kltcredit.png
;CreditON;https://crediton.org.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;500;21;3000;0.019;0;21;15000;0.019;0;0;1;crediton.png
;CreditUP;https://creditup.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;100;30;1500;0.019;0.5;30;5000;0.019;30;0;1;creditup.png
;ЄвроГроші;http://eurogroshi.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;500;30;2000;0.019;0;30;7000;0.019;0;0;1;eurogroshi.jpg
;БыстроЗайм;https://bistrozaim.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;7;300;30;6000;0.02;0;60;10000;0.02;0;0;1;bistrozaim.png
;MoneyBoom;https://moneyboom.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;250;30;2000;0.0175;0;30;7000;0.0175;0;0;4;moneyboom.png
;UltraCach;https://ultracash.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;500;30;2000;0.012;0;30;10000;0.012;0;0;2;ultracash.png
;MyCredit;https://mycredit.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;100;35;3000;0.0099;0;35;30000;0.013;0;0;3;mycredit.png
;MoneyVeo;https://moneyveo.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;50;30;3000;0.0002;0;30;10000;0.017;0;0;5;moneyveo.png
;Капуста у кишені;https://ikapusta.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;500;30;1500;0.021;0;30;5000;0.021;0;0.05;1;ikapusta.png
;TopCredit;https://topcredit.org.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;200;21;3000;0.019;0;21;15000;0.019;0;0;1;topcredit.png
;GlobalCredit;https://globalcredit.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;200;14;10000;0.015;0;14;10000;0.015;0;0;5;globalcredit.png
;CashUp;https://cashup.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;3;250;30;3000;0.015;0;30;10000;0.015;0;0;5;cashup.png
;ВашаГотівочка;https://vashagotivochka.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;200;16;5000;0.02;0;16;7000;0.02;0;0;1;vashagotivochka.png
;МореГрошей;https://mgroshi.com.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;5;500;30;10000;0.016;0.5;30;10000;0.016;0;0;5;mgroshi.jpg
;ГрошіВсім;https://groshivsim.com;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;500;21;15000;0.019;0;21;15000;0.019;0;0;1;groshivsim.png
;CashPoint;https://cashpoint.ua;https://rdr.salesdoubler.com.ua/in/offer/250?aid=35995;1;200;15;7000;0.02;0;15;7000;0.02;0;0;5;cashpoint.png
